"StageID","StageNameSID"
"201510108","Phantasia Valley Secret Passage 3-3"
"201510200","Sagittarion Valley Secret Passage 1-1"
"201510201","Sagittarion Valley Secret Passage 1-2"
"201510202","Sagittarion Valley Secret Passage 1-3"
"201510203","Sagittarion Valley Secret Passage 2-1"
"201510204","Sagittarion Valley Secret Passage 2-2"
"201510205","Sagittarion Valley Secret Passage 2-3"
"201510206","Sagittarion Valley Secret Passage 3-1"
"201510207","Sagittarion Valley Secret Passage 3-2"
"201510208","Sagittarion Valley Secret Passage 3-3"
"201520001","Bicheon Labyrinth Secret Passage 1-1"
"201520002","Bicheon Labyrinth Secret Passage 1-2"
"201520003","Bicheon Labyrinth Secret Passage 1-3"
"201520004","Bicheon Labyrinth Secret Passage 2-1"
"201520005","Bicheon Labyrinth Secret Passage 2-2"
"201520006","Bicheon Labyrinth Secret Passage 2-3"
"201520064","Bicheon Labyrinth Secret Passage 3-1"
"201520065","Bicheon Labyrinth Secret Passage 3-2"
"201520066","Bicheon Labyrinth Secret Passage 3-3"
"201520010","Demon Bull Labyrinth Secret Passage 1-1"
"201520011","Demon Bull Labyrinth Secret Passage 1-2"
"201520012","Demon Bull Labyrinth Secret Passage 1-3"
"201520013","Demon Bull Labyrinth Secret Passage 2-1"
"201520014","Demon Bull Labyrinth Secret Passage 2-2"
"201520015","Demon Bull Labyrinth Secret Passage 2-3"
"201520067","Demon Bull Labyrinth Secret Passage 3-1"
"201520068","Demon Bull Labyrinth Secret Passage 3-2"
"201520069","Demon Bull Labyrinth Secret Passage 3-3"
"201520019","Snake Pit Labyrinth Secret Passage 1-1"
"201520020","Snake Pit Labyrinth Secret Passage 1-2"
"201520021","Snake Pit Labyrinth Secret Passage 1-3"
"201520022","Snake Pit Labyrinth Secret Passage 2-1"
"201520023","Snake Pit Labyrinth Secret Passage 2-2"
"201520024","Snake Pit Labyrinth Secret Passage 2-3"
"201520070","Snake Pit Labyrinth Secret Passage 3-1"
"201520071","Snake Pit Labyrinth Secret Passage 3-2"
"201520072","Snake Pit Labyrinth Secret Passage 3-3"
"201520028","Abandoned Mine Labyrinth Secret Passage 1-1"
"201520029","Abandoned Mine Labyrinth Secret Passage 1-2"
"201520030","Abandoned Mine Labyrinth Secret Passage 1-3"
"201520031","Abandoned Mine Labyrinth Secret Passage 2-1"
"201520032","Abandoned Mine Labyrinth Secret Passage 2-2"
"201520033","Abandoned Mine Labyrinth Secret Passage 2-3"
"201520073","Abandoned Mine Labyrinth Secret Passage 3-1"
"201520074","Abandoned Mine Labyrinth Secret Passage 3-2"
"201520075","Abandoned Mine Labyrinth Secret Passage 3-3"
"201520046","Heaven's Way Labyrinth Secret Passage 1-1"
"201520047","Heaven's Way Labyrinth Secret Passage 1-2"
"201520048","Heaven's Way Labyrinth Secret Passage 1-3"
"201520049","Heaven's Way Labyrinth Secret Passage 2-1"
"201520050","Heaven's Way Labyrinth Secret Passage 2-2"
"201520051","Heaven's Way Labyrinth Secret Passage 2-3"
"201520076","Heaven's Way Labyrinth Secret Passage 3-1"
"201520077","Heaven's Way Labyrinth Secret Passage 3-2"
"201520078","Heaven's Way Labyrinth Secret Passage 3-3"
"201520055","Redmoon Labyrinth Secret Passage 1-1"
"201520056","Redmoon Labyrinth Secret Passage 1-2"
"201520057","Redmoon Labyrinth Secret Passage 1-3"
"201520058","Redmoon Labyrinth Secret Passage 2-1"
"201520059","Redmoon Labyrinth Secret Passage 2-2"
"201520060","Redmoon Labyrinth Secret Passage 2-3"
"201520079","Redmoon Labyrinth Secret Passage 3-1"
"201520080","Redmoon Labyrinth Secret Passage 3-2"
"201520081","Redmoon Labyrinth Secret Passage 3-3"
"201520101","Phantasia Labyrinth Secret Passage 1-1"
"201520102","Phantasia Labyrinth Secret Passage 1-2"
"201520103","Phantasia Labyrinth Secret Passage 1-3"
"201520104","Phantasia Labyrinth Secret Passage 2-1"
"201520105","Phantasia Labyrinth Secret Passage 2-2"
"201520106","Phantasia Labyrinth Secret Passage 2-3"
"201520107","Phantasia Labyrinth Secret Passage 3-1"
"201520108","Phantasia Labyrinth Secret Passage 3-2"
"201520109","Phantasia Labyrinth Secret Passage 3-3"
"201520201","Rockcut Labyrinth Secret Passage 1-1"
"201520202","Rockcut Labyrinth Secret Passage 1-2"
"201520203","Rockcut Labyrinth Secret Passage 1-3"
"201520204","Rockcut Labyrinth Secret Passage 2-1"
"201520205","Rockcut Labyrinth Secret Passage 2-2"
"201520206","Rockcut Labyrinth Secret Passage 2-3"
"201520207","Rockcut Labyrinth Secret Passage 3-1"
"201520208","Rockcut Labyrinth Secret Passage 3-2"
"201520209","Rockcut Labyrinth Secret Passage 3-3"
"201520301","Sabuk Labyrinth Secret Passage 1-1"
"201520302","Sabuk Labyrinth Secret Passage 1-2"
"201520303","Sabuk Labyrinth Secret Passage 1-3"
"201520304","Sabuk Labyrinth Secret Passage 2-1"
"201520305","Sabuk Labyrinth Secret Passage 2-2"
"201520306","Sabuk Labyrinth Secret Passage 2-3"
"201520307","Sabuk Labyrinth Secret Passage 3-1"
"201520308","Sabuk Labyrinth Secret Passage 3-2"
"201520309","Sabuk Labyrinth Secret Passage 3-3"
"201520401","0"
"201520402","0"
"201520403","0"
"201520404","0"
"201520405","0"
"201520406","0"
"201520407","0"
"201520408","0"
"201520409","0"
"301001010","[Domination] Sabuk Castle"
"301001020","[Domination] Sabuk Town"
"301011010","Domination Labyrinth 1F"
"301011020","Domination Labyrinth 2F"
"301011030","Domination Labyrinth 3F"
"301011040","Domination Labyrinth 4F"
"301031010","Black Dragon Valley 1F"
"301031020","Black Dragon Valley 2F"
"301031030","Black Dragon Valley 3F"
"301031040","Black Dragon Valley 4F"
